OBJECTID,Id,ORIG_FID,Name,x,y,distance
195,0,0, ,567362.8128,6092733.313,5850
196,0,0, ,567392.8005,6092734.169,5880
197,0,0, ,567422.7883,6092735.026,5910
198,0,0, ,567452.776,6092735.883,5940
199,0,0, ,567482.7638,6092736.74,5970
200,0,0, ,567512.7516,6092737.597,6000
201,0,0, ,567542.7393,6092738.453,6030
202,0,0, ,567572.7271,6092739.31,6060
203,0,0, ,567602.7149,6092740.167,6090
204,0,0, ,567632.7026,6092741.024,6120
205,0,0, ,567662.6904,6092741.881,6150
206,0,0, ,567692.6782,6092742.737,6180
207,0,0, ,567722.6659,6092743.594,6210
208,0,0, ,567752.6537,6092744.451,6240
209,0,0, ,567782.6415,6092745.308,6270
210,0,0, ,567812.6292,6092746.164,6300
211,0,0, ,567842.617,6092747.021,6330
212,0,0, ,567872.6048,6092747.878,6360
213,0,0, ,567902.5925,6092748.735,6390
214,0,0, ,567932.5803,6092749.592,6420
215,0,0, ,567962.5681,6092750.448,6450
216,0,0, ,567992.5558,6092751.305,6480
217,0,0, ,568022.5435,6092752.162,6510
218,0,0, ,568052.5313,6092753.019,6540
219,0,0, ,568082.5191,6092753.876,6570
220,0,0, ,568112.5068,6092754.732,6600
221,0,0, ,568142.4946,6092755.589,6630
222,0,0, ,568172.4824,6092756.446,6660
223,0,0, ,568202.4701,6092757.303,6690
224,0,0, ,568232.4579,6092758.16,6720
225,0,0, ,568262.4457,6092759.016,6750
226,0,0, ,568292.4334,6092759.873,6780
227,0,0, ,568322.4212,6092760.73,6810
228,0,0, ,568352.409,6092761.587,6840
229,0,0, ,568382.3967,6092762.444,6870
230,0,0, ,568412.3845,6092763.3,6900
231,0,0, ,568442.3723,6092764.157,6930
232,0,0, ,568472.36,6092765.014,6960
233,0,0, ,568502.3478,6092765.871,6990
234,0,0, ,568532.3356,6092766.728,7020
235,0,0, ,568562.3233,6092767.584,7050
236,0,0, ,568592.311,6092768.441,7080
237,0,0, ,568622.2988,6092769.298,7110
238,0,0, ,568652.2865,6092770.155,7140
239,0,0, ,568682.2743,6092771.011,7170
240,0,0, ,568712.2621,6092771.868,7200
241,0,0, ,568742.2498,6092772.725,7230
242,0,0, ,568772.2376,6092773.582,7260
243,0,0, ,568802.2254,6092774.439,7290
244,0,0, ,568832.2131,6092775.295,7320
245,0,0, ,568862.2009,6092776.152,7350
246,0,0, ,568892.1887,6092777.009,7380
247,0,0, ,568922.1764,6092777.866,7410
248,0,0, ,568952.1642,6092778.723,7440
249,0,0, ,568982.152,6092779.579,7470
250,0,0, ,569012.1397,6092780.436,7500
251,0,0, ,569042.1275,6092781.293,7530
252,0,0, ,569072.1153,6092782.15,7560
253,0,0, ,569102.103,6092783.007,7590
254,0,0, ,569132.0908,6092783.863,7620
255,0,0, ,569162.0786,6092784.72,7650
256,0,0, ,569192.0663,6092785.577,7680
257,0,0, ,569222.054,6092786.434,7710
258,0,0, ,569252.0418,6092787.291,7740
259,0,0, ,569282.0296,6092788.147,7770
260,0,0, ,569312.0173,6092789.004,7800
261,0,0, ,569342.0051,6092789.861,7830
262,0,0, ,569371.9929,6092790.718,7860
263,0,0, ,569401.9806,6092791.575,7890
264,0,0, ,569431.9684,6092792.431,7920
265,0,0, ,569461.9562,6092793.288,7950
266,0,0, ,569491.9439,6092794.145,7980
267,0,0, ,569521.9317,6092795.002,8010
268,0,0, ,569551.9195,6092795.858,8040
269,0,0, ,569581.9072,6092796.715,8070
270,0,0, ,569611.895,6092797.572,8100
271,0,0, ,569641.8828,6092798.429,8130
272,0,0, ,569671.8705,6092799.286,8160
273,0,0, ,569701.8583,6092800.142,8190
274,0,0, ,569731.8461,6092800.999,8220
275,0,0, ,569761.8338,6092801.856,8250
276,0,0, ,569791.8216,6092802.713,8280
277,0,0, ,569821.8093,6092803.57,8310
278,0,0, ,569851.797,6092804.426,8340
279,0,0, ,569881.7848,6092805.283,8370
280,0,0, ,569911.7726,6092806.14,8400
